StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0001,14,1,9
0001,14,2,8
0001,14,3,8
0001,14,4,1
0001,14,5,8
0001,14,6,7
0001,14,7,1
0001,14,8,8
0001,14,9,6
0001,14,10,1
0001,14,11,4
0001,14,12,3
0001,14,13,1
0001,14,14,1
0002,10,1,10
0002,10,2,9
0002,10,3,1
0002,10,4,9
0002,10,5,8
0002,10,6,8
0002,10,7,9
0002,10,8,7
0002,10,9,3
0002,10,10,2
0008,12,1,8
0008,12,2,9
0008,12,3,1
0008,12,4,1
0008,12,5,8
0008,12,6,8
0008,12,7,9
0008,12,8,8
0008,12,9,1
0008,12,10,8
0008,12,11,3
0008,12,12,1
00010,11,1,11
00010,11,2,9
00010,11,3,8
00010,11,4,9
00010,11,5,1
00010,11,6,1
00010,11,7,9
00010,11,8,8
00010,11,9,1
00010,11,10,1
00010,11,11,6
0011,12,1,9
0011,12,2,9
0011,12,3,9
0011,12,4,8
0011,12,5,1
0011,12,6,8
0011,12,7,8
0011,12,8,2
0011,12,9,2
0011,12,10,6
0011,12,11,5
0011,12,12,1
0012,10,1,11
0012,10,2,9
0012,10,3,1
0012,10,4,10
0012,10,5,8
0012,10,6,9
0012,10,7,8
0012,10,8,7
0012,10,9,3
0012,10,10,1
0013,10,1,10
0013,10,2,10
0013,10,3,9
0013,10,4,8
0013,10,5,8
0013,10,6,9
0013,10,7,1
0013,10,8,9
0013,10,9,5
0013,10,10,1
0018,5,1,8
0018,5,2,9
0018,5,3,6
0018,5,4,7
0018,5,5,6
0021,11,1,10
0021,11,2,10
0021,11,3,9
0021,11,4,9
0021,11,5,9
0021,11,6,9
0021,11,7,7
0021,11,8,4
0021,11,9,3
0021,11,10,1
0021,11,11,1
0030,10,1,10
0030,10,2,8
0030,10,3,9
0030,10,4,9
0030,10,5,9
0030,10,6,8
0030,10,7,1
0030,10,8,6
0030,10,9,6
0030,10,10,1
0040,15,1,9
0040,15,2,10
0040,15,3,9
0040,15,4,1
0040,15,5,1
0040,15,6,12
0040,15,7,9
0040,15,8,1
0040,15,9,1
0040,15,10,9
0040,15,11,10
0040,15,12,2
0040,15,13,7
0040,15,14,1
0040,15,15,1
0055,12,1,9
0055,12,2,9
0055,12,3,9
0055,12,4,3
0055,12,5,1
0055,12,6,8
0055,12,7,8
0055,12,8,9
0055,12,9,7
0055,12,10,1
0055,12,11,4
0055,12,12,1
0060,13,1,10
0060,13,2,10
0060,13,3,1
0060,13,4,8
0060,13,5,8
0060,13,6,2
0060,13,7,8
0060,13,8,9
0060,13,9,1
0060,13,10,4
0060,13,11,3
0060,13,12,1
0060,13,13,1
0061,8,1,9
0061,8,2,10
0061,8,3,9
0061,8,4,8
0061,8,5,9
0061,8,6,8
0061,8,7,7
0061,8,8,4
0066,10,1,8
0066,10,2,9
0066,10,3,8
0066,10,4,8
0066,10,5,2
0066,10,6,8
0066,10,7,8
0066,10,8,6
0066,10,9,7
0066,10,10,1
0069,12,1,9
0069,12,2,10
0069,12,3,8
0069,12,4,10
0069,12,5,7
0069,12,6,7
0069,12,7,1
0069,12,8,6
0069,12,9,5
0069,12,10,1
0069,12,11,2
0069,12,12,1
0070,9,1,10
0070,9,2,9
0070,9,3,9
0070,9,4,9
0070,9,5,1
0070,9,6,9
0070,9,7,8
0070,9,8,6
0070,9,9,3
0074,13,1,10
0074,13,2,9
0074,13,3,8
0074,13,4,8
0074,13,5,2
0074,13,6,8
0074,13,7,8
0074,13,8,1
0074,13,9,7
0074,13,10,1
0074,13,11,5
0074,13,12,1
0074,13,13,1
0084,13,1,10
0084,13,2,9
0084,13,3,9
0084,13,4,9
0084,13,5,8
0084,13,6,1
0084,13,7,8
0084,13,8,7
0084,13,9,1
0084,13,10,7
0084,13,11,8
0084,13,12,1
0084,13,13,6
0085,12,1,10
0085,12,2,8
0085,12,3,1
0085,12,4,8
0085,12,5,10
0085,12,6,1
0085,12,7,1
0085,12,8,9
0085,12,9,9
0085,12,10,1
0085,12,11,1
0085,12,12,5
0090,11,1,10
0090,11,2,10
0090,11,3,8
0090,11,4,1
0090,11,5,1
0090,11,6,7
0090,11,7,8
0090,11,8,8
0090,11,9,6
0090,11,10,1
0090,11,11,4
0091,9,1,10
0091,9,2,9
0091,9,3,1
0091,9,4,8
0091,9,5,8
0091,9,6,9
0091,9,7,8
0091,9,8,7
0091,9,9,4
0101,16,1,9
0101,16,2,9
0101,16,3,8
0101,16,4,8
0101,16,5,1
0101,16,6,1
0101,16,7,8
0101,16,8,8
0101,16,9,2
0101,16,10,3
0101,16,11,8
0101,16,12,7
0101,16,13,2
0101,16,14,1
0101,16,15,2
0101,16,16,1
0105,8,1,9
0105,8,2,9
0105,8,3,8
0105,8,4,8
0105,8,5,9
0105,8,6,8
0105,8,7,1
0105,8,8,5
0117,11,1,10
0117,11,2,8
0117,11,3,1
0117,11,4,9
0117,11,5,9
0117,11,6,8
0117,11,7,9
0117,11,8,1
0117,11,9,8
0117,11,10,1
0117,11,11,1
0120,10,1,11
0120,10,2,10
0120,10,3,8
0120,10,4,8
0120,10,5,10
0120,10,6,9
0120,10,7,7
0120,10,8,1
0120,10,9,3
0120,10,10,1
0125,11,1,10
0125,11,2,9
0125,11,3,8
0125,11,4,8
0125,11,5,8
0125,11,6,8
0125,11,7,2
0125,11,8,5
0125,11,9,5
0125,11,10,2
0125,11,11,2
0130,13,1,10
0130,13,2,11
0130,13,3,1
0130,13,4,1
0130,13,5,9
0130,13,6,9
0130,13,7,1
0130,13,8,9
0130,13,9,10
0130,13,10,8
0130,13,11,3
0130,13,12,1
0130,13,13,2
0131,12,1,10
0131,12,2,10
0131,12,3,1
0131,12,4,8
0131,12,5,8
0131,12,6,1
0131,12,7,9
0131,12,8,8
0131,12,9,1
0131,12,10,1
0131,12,11,5
0131,12,12,4
0135,12,1,10
0135,12,2,9
0135,12,3,8
0135,12,4,9
0135,12,5,2
0135,12,6,8
0135,12,7,8
0135,12,8,1
0135,12,9,6
0135,12,10,5
0135,12,11,4
0135,12,12,1
0140,10,1,9
0140,10,2,9
0140,10,3,9
0140,10,4,8
0140,10,5,9
0140,10,6,8
0140,10,7,5
0140,10,8,1
0140,10,9,5
0140,10,10,1
0141,8,1,9
0141,8,2,10
0141,8,3,8
0141,8,4,8
0141,8,5,7
0141,8,6,9
0141,8,7,5
0141,8,8,5
0142,12,1,9
0142,12,2,10
0142,12,3,9
0142,12,4,11
0142,12,5,1
0142,12,6,9
0142,12,7,7
0142,12,8,1
0142,12,9,6
0142,12,10,6
0142,12,11,1
0142,12,12,3
0147,10,1,10
0147,10,2,10
0147,10,3,8
0147,10,4,8
0147,10,5,1
0147,10,6,9
0147,10,7,8
0147,10,8,4
0147,10,9,5
0147,10,10,5
0151,9,1,10
0151,9,2,9
0151,9,3,9
0151,9,4,8
0151,9,5,2
0151,9,6,10
0151,9,7,9
0151,9,8,7
0151,9,9,6
0152,9,1,10
0152,9,2,9
0152,9,3,8
0152,9,4,9
0152,9,5,8
0152,9,6,8
0152,9,7,1
0152,9,8,6
0152,9,9,4
0155,15,1,10
0155,15,2,10
0155,15,3,9
0155,15,4,8
0155,15,5,1
0155,15,6,8
0155,15,7,8
0155,15,8,1
0155,15,9,6
0155,15,10,5
0155,15,11,1
0155,15,12,2
0155,15,13,2
0155,15,14,1
0155,15,15,1
0157,8,1,11
0157,8,2,10
0157,8,3,10
0157,8,4,8
0157,8,5,1
0157,8,6,9
0157,8,7,8
0157,8,8,5
0158,10,1,10
0158,10,2,8
0158,10,3,8
0158,10,4,8
0158,10,5,8
0158,10,6,9
0158,10,7,7
0158,10,8,6
0158,10,9,1
0158,10,10,1
0159,13,1,9
0159,13,2,10
0159,13,3,9
0159,13,4,8
0159,13,5,1
0159,13,6,1
0159,13,7,8
0159,13,8,6
0159,13,9,10
0159,13,10,7
0159,13,11,1
0159,13,12,2
0159,13,13,1
0160,10,1,9
0160,10,2,9
0160,10,3,8
0160,10,4,8
0160,10,5,1
0160,10,6,8
0160,10,7,8
0160,10,8,1
0160,10,9,6
0160,10,10,7
0163,12,1,10
0163,12,2,9
0163,12,3,1
0163,12,4,8
0163,12,5,8
0163,12,6,9
0163,12,7,8
0163,12,8,1
0163,12,9,7
0163,12,10,7
0163,12,11,2
0163,12,12,3
0165,12,1,10
0165,12,2,8
0165,12,3,1
0165,12,4,8
0165,12,5,8
0165,12,6,2
0165,12,7,8
0165,12,8,8
0165,12,9,1
0165,12,10,7
0165,12,11,1
0165,12,12,2
0169,8,1,10
0169,8,2,10
0169,8,3,10
0169,8,4,9
0169,8,5,8
0169,8,6,8
0169,8,7,8
0169,8,8,4
0173,12,1,9
